TBA;Sdm(kVA); DEP0(W) ; DEPK(W) 
03.AQ.T1.2500kVA;2500;4500;16547
03.ECOLAND.T1.400KVA;400;282;5450,3
03.ECOLAND.T2.250kVA;250;363;2834
03.ECOLAND.T3.1250kVA;1250;1209;10700
03.ECOLAND.T4.1250kVA;1250;1209;10700
03.ECOLAND.T5.1500kVA;1500;1234;13179
03.FI VINA.1500kVA;1500;1234;13179
03.GHN.T1.2000kVA;2000;1850;16547
03.IP.T1.560kVA;560;540,16;4691,1
03.JPVN.T1.800kVA;800;805;6700
03.LOGOS.T1.1000kVA;1000;886,7;9155,5
03.LOGOS.T2.2500kVA;2500;1696,3;20575
03.LOGOS.T3.1600kVA;1600;1195;14522,6
03.NHOMVP.3000kVA;3000;2180;19846
03.NHUABINHTHUAN.2000kVA;2000;1850;16547
03.PANEL.1000kVA;1000;924,41;8796,5
03.SENDAI.T1.1000kVA;1000;924,41;8796,5
03.SHINERAY.1000kVA;1000;925;8422,3
03.TAMAGAWA.T1.750kVA;750;898;7350
03.TECHSCOPE.1500kVA;1500;1234;13179
03.TMD.3000 kVA;3000;2180;19846
03.VMP.1500kVA;1500;1234;13179
PĐ.AMP.T1.1000kVA;1000;895;8488
PĐ.BQL.T1.75kVA;75;154;938
PĐ.BQL.T2.50kVA;50;;
TTI.BQL.T1.630kVA;630;780;5471,6
TTI.BQL.T2.630kVA;630;780;5471,6
TTI.BQL.T3.400kVA;400;415;3730
TTI.BQL.T4.250kVA;250;363;2834
TTI.DOVEY.T1.2500kVA;2500;;
TTI.JOHNSON 2.T1.3000kVA;3000;3962;20071
TTI.JOHNSON.T1.3000kVA;3000;3989;20071
TTI.JOHNSON.T2.2000kVA;2000;3047;14098
TTI.TITAN.MVSG.1250kVA;1250;2650;9800
TTI.TITAN.NX5.1000kVA;1000;895;8488
TTI.TITAN.NX6.2000kVA;2000;2397;16907,3
TH.ACCELOTECH.T1.800kVA;800;830;6793
TH.ACCELOTECH.T2.800kVA;800;830;6793
TH.ASAHI.T1.2500kVA;2500;1899,1;13512
TH.BAIYANG.T1.2500kVA;2500;1899,1;13512
TH.BAIYANG.T2.2500kVA;2500;1899,1;13512
TH.BEBRIGHT.T1.2500kVA;2500;1899,1;20500,1
TH.BEBRIGHT.T2.2000kVA;2000;1850;16547
TH.BQL.PCCC2.750kVA;750;732;7485
TH.BQL.T1.180kVA;180;285;1962,5
TH.BQL.T2.160kVA;160;268;1819
TH.BQL.T3.50kVA;50;;
TH.FANTASY.T1.3150kVA;3150;3825,4;19438
TH.FANTASY.T2.3150kVA;3150;3825,4;19438
TH.HONGXI.T1.800kVA;800;830;6793
TH.HONGXI.T2.560kVA;560;;
TH.HUM&C.T1.750kVA;750;788;6510
TH.RICO.T1.2500kVA;2500;;
TH.RICO.T2.2500kVA;2500;;
TH.SINHER.T1.1600kVA;1600;1154;13096
TH.XULI.T1.1000kVA;1000;962;6510
YM.DAECHANG.T1.560kVA;560;322;4668
YM.ECOPIONEER.1250kVA;1250;1188;10350
YM.FOT.T1.2000kVA;2000;2397;16907,3
YM.FUMAO.800kVA;800;798,3;6690,1
YM.JILI.T1.630kVA;630;747,34;5322,4
YM.KIMTIN.3000KVA;3000;1070;10538,8
YM.KIMTIN2.T1.1250kVA;1250;2170;24721,6
YM.LIHUA.T1.560kVA;560;697,24;5463,1
YM.LIHUA.T2.560kVA;560;667;5450,3
YM.MINHQUANG.T1.1500kVA;1500;1305;13680
YM.NCC.250kVA;250;310;2834
YM.NHUADUCANH.T1.2000kVA;2000;2397;16907,3
YM.OSAKA.160kVA;160;620,5;2759
YM.PACIFIC.T1.1000kVA;1000;930,6;8481,1
YM.PE_FOAMVH.T1.1000kVA;1000;930,6;8481,1
YM.SOL.T1.400kVA;400;423,28;3730,1
YM.SONMIENBAC.T1.1250kVA;1250;1070;10538,8
YM.TITAN.NX1.400kVA;400;400;3759
YM.TITAN.NX2.400kVA;400;401,38;3702,9
YM.TITAN.NX3.400kVA;400;402;3715
YM.TITAN.NX4.400kVA;400;410,15;3722,1
YM.TITAN.NX5.400KVA;400;411;3746
YM.TITAN.NX6.400kVA;400;405;3746
YM.TITAN.NX7.630kVA;630;782;5594
YM.TITAN.NX8.750kVA;750;804;6362
YM.TITAN.NX9.750kVA;750;804;6362
YM.VINATA.T1.160kVA;160;234,67;1962,5
YM.VINSON.T1.400kVA;400;445;4178
YM.VNC.T1.5500kVA;5500;;
YM.YUSEN.T1.800kVA;800;798,3;6690,1
TTI.NGÂN AN.T1.560kVA;;;
TTI.NGÂN AN.T2.560kVA;;;
TTI.NGANAN.T1.560kVA;;;
TTI.NGANAN.T2.560kVA;;;
